"model_id","target_end_date","wis_scaled_relative_skill","wis","ae_median_scaled_relative_skill","ae_median","interval_coverage_50","interval_coverage_95","n"
"ACCIDDA-InfluPaint",2026-04-25,0.656820831175764,0.0700719956179986,0.922775507795407,0.153592259735359,0.421052631578947,0.934210526315789,76
"ACCIDDA-InfluPaint",2026-05-02,0.626141388781158,0.0770418090455327,0.882056472688218,0.150242231723264,0.526315789473684,0.894736842105263,152
"ACCIDDA-InfluPaint",2026-05-09,0.490527973007363,0.068422556057987,0.799555262958344,0.139270393494353,0.526315789473684,0.951754385964912,228
"ACCIDDA-InfluPaint",2026-05-16,0.434213831675885,0.0671484006991141,0.675602994046349,0.130032260948333,0.529605263157895,0.940789473684211,304
"ACCIDDA-InfluPaint",2026-05-23,0.361617242135359,0.0506860472894146,0.634113790044328,0.0970306083312454,0.559210526315789,0.911184210526316,304
"FluSight-ensemble",2026-04-25,0.440547676869235,0.036523452104222,0.451346375040873,0.0523398854969468,0.769230769230769,1,13
"FluSight-ensemble",2026-05-02,0.389176129142988,0.0383824343359145,0.370261325892629,0.0473526718433943,0.846153846153846,1,26
"FluSight-ensemble",2026-05-09,0.345686261057563,0.0386583746657196,0.431677989642009,0.0574276635631844,0.897435897435897,1,39
"FluSight-ensemble",2026-05-16,0.309940544237642,0.0382469533110221,0.380883349744123,0.056365007935046,0.884615384615385,1,52
"FluSight-ensemble",2026-05-23,0.27511345134357,0.0329581123582221,0.376976225819058,0.0462483754113032,0.865384615384615,1,52
"MOBS-EpyStrain_Flu",2026-04-25,1.21013432551324,0.127556140350877,1.91184994863461,0.310776315789474,0.210526315789474,0.960526315789474,76
"MOBS-EpyStrain_Flu",2026-05-02,1.05151569041624,0.12917682748538,1.79172546991013,0.30175,0.131578947368421,0.914473684210526,152
"MOBS-EpyStrain_Flu",2026-05-09,0.945553267969318,0.132039546783626,1.59629623144943,0.276214912280702,0.100877192982456,0.824561403508772,228
"MOBS-EpyStrain_Flu",2026-05-16,0.785347977655056,0.12191745248538,1.22408973090211,0.232605263157895,0.118421052631579,0.799342105263158,304
"MOBS-EpyStrain_Flu",2026-05-23,0.621667495151496,0.0877532346491228,1.12708200063881,0.170154605263158,0.335526315789474,0.888157894736842,304
"NAU-Copycat",2026-04-25,0.85221811300718,0.0892742967023997,0.95430700938454,0.16164882031492,0.815789473684211,1,76
"NAU-Copycat",2026-05-02,0.715960556468898,0.0857504693881849,0.928305108451694,0.154485568240888,0.835526315789474,1,152
"NAU-Copycat",2026-05-09,0.62478492930187,0.0842085885717265,0.899048475075435,0.151852344849281,0.855263157894737,0.995614035087719,228
"NAU-Copycat",2026-05-16,0.551181900326046,0.0823249805282322,0.800897761791626,0.149667863662296,0.868421052631579,0.996710526315789,304
"NAU-Copycat",2026-05-23,0.490273259356793,0.0670193350872346,0.62771699439855,0.0949232815448283,0.963815789473684,1,304
"NAU-INFLAenza",2026-04-25,0.624479068031222,0.0674568172158278,0.754079621416814,0.126138733530141,0.710526315789474,0.973684210526316,76
"NAU-INFLAenza",2026-05-02,0.486449936484962,0.0602362393360969,0.625252115325643,0.106046014299377,0.644736842105263,1,152
"NAU-INFLAenza",2026-05-09,0.436927757295207,0.0615566931215004,0.653063224981497,0.114297499085984,0.662280701754386,0.973684210526316,228
"NAU-INFLAenza",2026-05-16,0.379339463351928,0.0594607626500273,0.580653063749387,0.112223827968985,0.621710526315789,0.980263157894737,304
"NAU-INFLAenza",2026-05-23,0.343020632249636,0.04927367574319,0.588141896999962,0.091160722229994,0.618421052631579,0.921052631578947,304
"UMass-SAR",2026-04-25,1.22515040516461,0.126991438721854,1.64960641235994,0.263795984676516,0.223880597014925,0.746268656716418,67
"UMass-SAR",2026-05-02,0.991332048841201,0.114513929708787,1.57359314894762,0.243920619442503,0.238805970149254,0.813432835820896,134
"UMass-SAR",2026-05-09,0.793821897231553,0.101526117051356,1.38346333619015,0.215315432340654,0.263681592039801,0.860696517412935,201
"UMass-SAR",2026-05-16,0.638202572383473,0.0891399585824506,1.06228338064448,0.179005568851486,0.33955223880597,0.869402985074627,268
"UMass-SAR",2026-05-23,0.551837940657042,0.0718354109388199,0.980556137542475,0.136029362290182,0.347014925373134,0.865671641791045,268
"UMass-alloy",2026-04-25,0.475467137431128,0.0516351282079966,0.617080146350554,0.104944407443325,0.539473684210526,0.986842105263158,76
"UMass-alloy",2026-05-02,0.419658084035805,0.0525633099996151,0.584278999937637,0.101381564308223,0.539473684210526,0.973684210526316,152
"UMass-alloy",2026-05-09,0.372022924539055,0.05240187992071,0.59107326573578,0.104676820947622,0.517543859649123,0.973684210526316,228
"UMass-alloy",2026-05-16,0.321131777679414,0.0498905726205007,0.494007164668968,0.0956429140507376,0.496710526315789,0.980263157894737,304
"UMass-alloy",2026-05-23,0.266739549778998,0.0377478410072772,0.497185527843995,0.0762002768420686,0.509868421052632,0.944078947368421,304
"UT-GBQR",2026-04-25,0.482216017974192,0.0523403433306599,0.609726842286965,0.103549291622221,0.421052631578947,0.934210526315789,76
"UT-GBQR",2026-05-02,0.423344089344732,0.0533995331263412,0.61565434110747,0.106344318615844,0.375,0.927631578947368,152
"UT-GBQR",2026-05-09,0.349661178449236,0.0491982163027325,0.54037403452409,0.0960005165100329,0.346491228070175,0.93859649122807,228
"UT-GBQR",2026-05-16,0.294717885456075,0.0457913616909254,0.445011443711542,0.0860857358257229,0.325657894736842,0.891447368421053,304
"UT-GBQR",2026-05-23,0.264811382390984,0.0371729088197661,0.459072439104691,0.0702698888819699,0.384868421052632,0.871710526315789,304
"VTSanghani-PRIME",2026-04-25,3.72218868839896,0.380883222792179,2.29332251028502,0.362236624370012,0.0789473684210526,0.0789473684210526,76
"VTSanghani-PRIME",2026-05-02,2.47827029101845,0.318706391338516,1.73809132543807,0.314967964364654,0.0657894736842105,0.0657894736842105,76
"VTSanghani-PRIME",2026-05-09,1.94475538100349,0.26528437084039,1.54941600765,0.26333602768167,0.0657894736842105,0.0657894736842105,152
"VTSanghani-PRIME",2026-05-16,1.51792160397852,0.222101796827723,1.19112295831557,0.213867656703504,0.0614035087719298,0.0614035087719298,228
"VTSanghani-PRIME",2026-05-23,1.33779415299865,0.165306095748243,1.26244329528092,0.164093147387085,0.105263157894737,0.105263157894737,228
"epiENGAGE-baseline",2026-04-25,1,0.104856329703241,1,0.164736842105263,0.381578947368421,1,76
"epiENGAGE-baseline",2026-05-02,1,0.118340392484956,1,0.1625,0.664473684210526,1,152
"epiENGAGE-baseline",2026-05-09,1,0.13400139422439,1,0.165705058128304,0.776315789473684,1,228
"epiENGAGE-baseline",2026-05-16,1,0.149988982023873,1,0.184267721669037,0.838815789473684,1,304
"epiENGAGE-baseline",2026-05-23,1,0.139085248378861,1,0.150197368421053,0.891447368421053,1,304
"epiENGAGE-ensemble_mean",2026-04-25,0.597217702726491,0.0632968448150672,0.760143148100664,0.125114300254803,0.565789473684211,0.986842105263158,76
"epiENGAGE-ensemble_mean",2026-05-02,0.488917583234736,0.059874078810041,0.637112989466197,0.109597371471377,0.723684210526316,1,152
"epiENGAGE-ensemble_mean",2026-05-09,0.430439584838011,0.0595384606341983,0.621646507972052,0.109408705910233,0.697368421052632,0.986842105263158,228
"epiENGAGE-ensemble_mean",2026-05-16,0.377571999747643,0.0578973426093281,0.501916457564208,0.0968423910605419,0.759868421052632,0.986842105263158,304
"epiENGAGE-ensemble_mean",2026-05-23,0.345410469719928,0.0484138435539696,0.431365684359081,0.0659304264743107,0.773026315789474,0.934210526315789,304
"epiENGAGE-lop_norm",2026-04-25,0.687657258667851,0.0725003468047734,0.698878581522067,0.11722917370425,0.697368421052632,1,76
"epiENGAGE-lop_norm",2026-05-02,0.549896743725572,0.066787844845721,0.621123330833155,0.107571196624314,0.809210526315789,1,152
"epiENGAGE-lop_norm",2026-05-09,0.476473147259418,0.0655689897175432,0.598604789165337,0.106228544036931,0.780701754385965,1,228
"epiENGAGE-lop_norm",2026-05-16,0.415871567396067,0.0634913909736459,0.490511239347402,0.0958735226122429,0.782894736842105,1,304
"epiENGAGE-lop_norm",2026-05-23,0.370303586227572,0.0516354405444952,0.412856085419983,0.0636073986054472,0.891447368421053,1,304
"epiforecasts-dyngam",2026-04-25,0.618482255243131,0.0658317158471326,0.669182965533544,0.111041820394737,0.710526315789474,0.986842105263158,76
"epiforecasts-dyngam",2026-05-02,0.502874578641161,0.0614317580579341,0.601824689462108,0.101444108881579,0.717105263157895,1,152
"epiforecasts-dyngam",2026-05-09,0.437619615480557,0.0646514431185007,0.602331161851415,0.112685833223684,0.697368421052632,0.986842105263158,152
"epiforecasts-dyngam",2026-05-16,0.379320525741851,0.060188791594347,0.551299057044154,0.108997395984649,0.666666666666667,0.986842105263158,228
"epiforecasts-dyngam",2026-05-23,0.334632124327765,0.0465596780807718,0.527341738939891,0.0799094185307018,0.657894736842105,0.925438596491228,228
