"model_id","wis_scaled_relative_skill","wis","ae_median_scaled_relative_skill","ae_median","interval_coverage_50","interval_coverage_95","n"
"epiENGAGE-Copycat",0.432045844332086,53.3362962962963,0.407342374830078,104.183333333333,0.4625,0.9375,330
"epiENGAGE-GBQR",0.399893230119908,56.4455137578859,0.374496968404337,105.7534906874,0.287878787878788,0.890909090909091,420
"epiENGAGE-INFLAenza",0.455407515365755,70.9920546497585,0.345487349919445,132.592391304348,0.713768115942029,1,336
"epiENGAGE-baseline",1,199.662032344634,1,367.954545454545,0.178787878787879,0.833333333333333,420
"epiENGAGE-ensemble_mean",0.400494081393978,34.648732746276,0.390547202437756,65.7200869279903,0.605555555555556,1,240
"epiENGAGE-lop_norm",0.420614293616982,36.3873935245399,0.414245974627749,69.6509662494478,0.577777777777778,1,240
"epiforecasts-dyngam",0.449441335911577,43.4758399470899,0.433993665523404,83.1190476190476,0.680952380952381,1,300
