"model_id","reference_date","wis_scaled_relative_skill","wis","ae_median_scaled_relative_skill","ae_median","interval_coverage_50","interval_coverage_95","n"
"ACCIDDA-InfluPaint",2026-01-31,4.96292138256915,0.999913605377078,5.10963094146163,1.7245004427433,0.5,0.75,4
"ACCIDDA-InfluPaint",2026-02-07,7.74173373560831,1.16687665706087,13.3481674989065,1.80200261235237,0.5,0.5,4
"ACCIDDA-InfluPaint",2026-02-14,9.4299402560001,1.446377384079,14.3202921498206,2.2196452832222,0.25,0.5,4
"ACCIDDA-InfluPaint",2026-02-21,6.27481260056848,0.997482097758394,11.2709656300083,1.74699967265129,0.5,0.75,4
"ACCIDDA-InfluPaint",2026-02-28,3.57925912324917,0.658356242855597,4.8043339184995,1.27314848840237,0.5,0.75,4
"ACCIDDA-InfluPaint",2026-03-14,1.46080086813987,0.384914089097745,1.76511903504531,1.05907142102718,0.25,1,4
"ACCIDDA-InfluPaint",2026-03-21,1.4236209309865,0.303220138983042,1.74065279460453,0.829711165428162,0,1,4
"ACCIDDA-InfluPaint",2026-03-28,1.75065633301938,0.228616783776217,2.48889550409819,0.472890145778656,1,1,4
"ACCIDDA-InfluPaint",2026-04-04,1.71671221667049,0.162790286160178,0.835723241170247,0.150430183410645,1,1,4
"NAU-Copycat",2025-12-13,0.543956806128787,1.18779615996057,0.779348770058467,2.23283422621751,0.75,1,4
"NAU-Copycat",2025-12-20,1.9596460090777,2.83647174069012,3.10563357659439,6.98767554733739,0,1,4
"NAU-Copycat",2025-12-27,1.08213937738807,4.07053612038172,1.94374775077095,8.99955208606952,0,1,4
"NAU-Copycat",2026-01-03,0.365577950042186,1.62571444722134,0.804312707381515,4.30910532979647,0,1,4
"NAU-INFLAenza",2025-12-20,0.871863717560834,1.26197118517249,1.08404156572795,2.43909352288789,0.25,0.75,4
"NAU-INFLAenza",2026-01-03,0.73264917125735,3.2580694276566,0.991117387832298,5.30991140531154,0,0,4
"NAU-INFLAenza",2026-01-17,1.21211641632273,1.14538625336812,1.2946673606929,2.35305792805934,0,0.25,4
"NAU-INFLAenza",2026-01-24,1.92940588148772,0.512729310528387,2.12645211372597,1.30245191965716,0,1,4
"NAU-INFLAenza",2026-01-31,1.54312467297758,0.310903848028432,2.17627857902412,0.734494020420641,0.25,1,4
"NAU-INFLAenza",2026-02-07,1.35753423614067,0.204615021054974,2.21528597859398,0.299063607110187,1,1,4
"NAU-INFLAenza",2026-02-14,1.13957280396913,0.174789265512439,0.753220671442103,0.116749204073526,1,1,4
"NAU-INFLAenza",2026-02-21,1.14143027689077,0.181448648671164,1.1437065190789,0.17727451045723,1,1,4
"NAU-INFLAenza",2026-02-28,1.02107213529745,0.187812391204786,1.01124650641889,0.267980324201006,1,1,4
"NAU-INFLAenza",2026-03-07,0.948113711701138,0.207459325638124,0.878837414709533,0.402068117229611,0.75,1,4
"NAU-INFLAenza",2026-03-14,0.843962715617419,0.222380166249487,0.887920488708705,0.532752293225223,0.75,1,4
"NAU-INFLAenza",2026-03-21,1.00199611223113,0.213417345726054,1.04082226948043,0.496125281785674,0.666666666666667,1,4
"NAU-INFLAenza",2026-03-28,1.44420399319302,0.188597422471325,1.50994686855096,0.286889905024683,1,1,4
"NAU-INFLAenza",2026-04-04,1.65459251336297,0.156899674921196,0.125092418924471,0.0225166354064048,1,1,4
"UMass-alloy",2025-12-20,1.01246061322497,1.46547687932986,1.24298065689238,2.79670647800785,0.5,1,4
"UMass-alloy",2025-12-27,1.1548253319785,4.34394896329933,1.86648084231648,8.64180629992531,0,0.5,4
"UMass-alloy",2026-01-03,0.526313663116212,2.34050146022012,0.988439341954112,5.29556377451916,0,1,4
"UMass-alloy",2026-01-10,0.458034831864699,1.28137092945204,0.86458717591448,3.2270716341008,0,1,4
"UMass-alloy",2026-01-17,0.527256221396906,0.49822939435385,0.649203291376917,1.17992698207755,0.5,1,4
"UMass-alloy",2026-01-24,1.16374461214954,0.30925891661451,0.751083282344318,0.460038510435895,1,1,4
"UMass-alloy",2026-01-31,1.39535411454961,0.281131506204672,1.13175367404132,0.381966864988945,1,1,4
