"model_id","wis_scaled_relative_skill","wis","ae_median_scaled_relative_skill","ae_median","interval_coverage_50","interval_coverage_95","n"
"ACCIDDA-InfluPaint",8.08878974163093,1.88956038718974,7.76980961592382,3.09506135940552,0,0.333333333333333,12
"NAU-INFLAenza",1.45706868652376,0.704270456804759,1.64984675233231,1.56127947222584,0.1,0.7,20
"UMass-alloy",0.735076887871179,0.343940317318892,0.590290083180979,0.613656336677927,0.8,1,20
"UT-GBQR",0.295747571929605,0.138536052378042,0.335379069989415,0.307016235568844,0.5,1,20
"VTSanghani-PRIME",0.949555636188727,0.486706102970058,0.678030163034573,0.677504619290403,1,1,16
"epiENGAGE-baseline",1,0.500157510566122,1,0.995,0.1,0.9,20
"epiENGAGE-ensemble_mean",0.796412275233206,0.362014008483273,0.940669264338884,0.848579294535862,0.4,1,20
"epiENGAGE-lop_norm",0.818875559782593,0.375097022644633,0.823790952764113,0.809192580819705,0.4,1,20
"epiforecasts-dyngam",1.17110408580918,0.604541816805556,1.1020031129245,1.1129855,0.2,0.6,20
