"model_id","horizon","wis_scaled_relative_skill","wis","ae_median_scaled_relative_skill","ae_median","interval_coverage_50","interval_coverage_95","n"
"epiENGAGE-Copycat",0,0.542776073366937,17.7560185185185,0.583220568335589,35.9166666666667,0.583333333333333,0.958333333333333,30
"epiENGAGE-Copycat",1,0.404736367976969,20.5679012345679,0.431491712707182,43.3888888888889,0.388888888888889,0.944444444444444,30
"epiENGAGE-Copycat",2,0.353366915665369,24.6032407407407,0.364548494983278,54.5,0.333333333333333,0.916666666666667,30
"epiENGAGE-Copycat",3,0.325936997997275,29.9444444444444,0.296470588235294,63,0.333333333333333,0.833333333333333,30
"epiENGAGE-GBQR",0,0.607187023117403,19.8631158514392,0.587190963422708,36.1611768307818,0.375,0.833333333333333,30
"epiENGAGE-GBQR",1,0.595171031839327,30.2454139758544,0.535608626118099,53.8584229596533,0.277777777777778,0.611111111111111,30
"epiENGAGE-GBQR",2,0.723749624034747,50.391209382516,0.52480096484008,78.457744243592,0.0833333333333333,0.416666666666667,30
"epiENGAGE-GBQR",3,1.05166474263466,96.6184159929824,0.540954555942086,114.952843137693,0,0.333333333333333,30
"epiENGAGE-INFLAenza",0,0.816369717200673,26.7061805555556,0.602841677943166,37.125,0.708333333333333,0.958333333333333,30
"epiENGAGE-INFLAenza",1,0.613261233481334,31.1647222222222,0.379834254143646,38.1944444444444,0.777777777777778,0.944444444444444,30
"epiENGAGE-INFLAenza",2,0.508499300427468,35.4043634259259,0.295429208472687,44.1666666666667,0.75,0.916666666666667,30
"epiENGAGE-INFLAenza",3,0.469172400359278,43.10375,0.329019607843137,69.9166666666667,0.666666666666667,0.833333333333333,30
"epiENGAGE-baseline",0,1,32.713340528028,1,61.5833333333333,0.458333333333333,1,30
"epiENGAGE-baseline",1,1,50.8180209684994,1,100.555555555556,0.333333333333333,1,30
"epiENGAGE-baseline",2,1,69.6251959366775,1,149.5,0.25,1,30
"epiENGAGE-baseline",3,1,91.8718790086382,1,212.5,0.166666666666667,1,30
"epiENGAGE-ensemble_mean",0,0.641785461483553,20.9949463474491,0.643823849351885,39.6488187225869,0.541666666666667,1,24
"epiENGAGE-ensemble_mean",1,0.552320875406088,28.0678538277265,0.541893147236943,54.4903664721592,0.5,0.944444444444444,24
"epiENGAGE-ensemble_mean",2,0.526646515755479,36.6678668488437,0.532273459411714,79.5748821820513,0.333333333333333,0.916666666666667,24
"epiENGAGE-ensemble_mean",3,0.533112469698499,48.9780443141368,0.501524244521755,106.573901960873,0.333333333333333,0.833333333333333,24
"epiENGAGE-lop_norm",0,0.651443616039362,21.3108968463056,0.661776892538065,40.7544269654691,0.541666666666667,1,24
"epiENGAGE-lop_norm",1,0.55788717708591,28.3507222632087,0.526065609529057,52.8988196248663,0.444444444444444,0.944444444444444,24
"epiENGAGE-lop_norm",2,0.530096794264451,36.908093166067,0.513677713721979,76.7948182014359,0.333333333333333,1,24
"epiENGAGE-lop_norm",3,0.539021842827883,49.5209495272964,0.525411358296802,111.649913638071,0.333333333333333,1,24
"epiforecasts-dyngam",0,0.645640368724946,21.1210532407407,0.666102841677943,41.0208333333333,0.666666666666667,1,30
"epiforecasts-dyngam",1,0.569278646554605,28.9296141975309,0.583977900552486,58.7222222222222,0.611111111111111,1,30
"epiforecasts-dyngam",2,0.516654075004967,35.9721412037037,0.533444816053512,79.75,0.583333333333333,0.916666666666667,30
"epiforecasts-dyngam",3,0.486613154070914,44.7060648148148,0.452549019607843,96.1666666666667,0.666666666666667,0.833333333333333,30
