"model_id","wis_scaled_relative_skill","wis","ae_median_scaled_relative_skill","ae_median","interval_coverage_50","interval_coverage_95","n"
"epiENGAGE-Copycat",0.425538062617944,22.4890740740741,0.420966298836862,47.05,0.516666666666667,0.983333333333333,150
"epiENGAGE-GBQR",0.65438846857129,34.5834886129386,0.496868322581106,55.5333161871483,0.266666666666667,0.7,150
"epiENGAGE-INFLAenza",0.583078181588881,30.8148425925926,0.299507903370116,33.475,0.85,1,120
"epiENGAGE-baseline",1,52.8485605628777,1,111.766666666667,0.35,1,150
"epiENGAGE-ensemble_mean",0.512923148415995,27.1072500731646,0.477222235928008,53.337538568887,0.566666666666667,1,114
"epiENGAGE-lop_norm",0.534252078256457,28.2344533135797,0.491792977451163,54.9660617797916,0.466666666666667,1,114
"epiforecasts-dyngam",0.593934367456303,31.3885763888889,0.581345064121682,64.975,0.633333333333333,1,150
