"model_id","horizon","wis_scaled_relative_skill","wis","ae_median_scaled_relative_skill","ae_median","interval_coverage_50","interval_coverage_95","n"
"ACCIDDA-InfluPaint",0,1.70722610364562,0.15055541687376,2.60259430019581,0.358122562885284,0.6,1,5
"ACCIDDA-InfluPaint",1,2.01456724034938,0.295230310749676,3.00304399041886,0.621186648845673,0.4,1,5
"ACCIDDA-InfluPaint",2,2.85940179700089,0.51347645311875,5.62141299840176,1.16725650399923,0,0.75,5
"ACCIDDA-InfluPaint",3,3.40584054113463,0.684729785606506,10.9591278029178,1.44667557915052,0,0.666666666666667,5
"NAU-INFLAenza",0,1.5683836723812,0.13577285413395,1.66979799523165,0.221306537321508,1,1,5
"NAU-INFLAenza",1,0.999181157287716,0.145262543909102,1.06342765660292,0.226254491741509,0.6,1,5
"NAU-INFLAenza",2,0.908257339558536,0.163705820903054,1.57846031353498,0.334336113468974,0.75,1,5
"NAU-INFLAenza",3,0.822319390320298,0.167308979366937,2.8865507926962,0.380877229937761,1,1,5
"UMass-alloy",0,1.37828337778041,0.120555756544257,1.8592835707272,0.244931051371013,0.4,0.8,5
"UMass-alloy",1,1.3689899607058,0.19934223154478,1.91186594108765,0.390842769338877,0.2,0.8,5
"UMass-alloy",2,1.40763132509839,0.257671229212211,2.76755159449965,0.57936683844089,0.25,1,5
"UMass-alloy",3,1.21623509264913,0.246612368154731,5.24065853711925,0.689110589602239,0,1,5
"UT-GBQR",0,0.459782279720223,0.0393574425313769,0.61738741573398,0.082415108661934,0.8,1,5
"UT-GBQR",1,0.340541099477803,0.049489668420583,0.559994501320152,0.119157007102856,0.4,1,5
"UT-GBQR",2,0.260414400306892,0.0466186273682064,0.341113218903839,0.0716571704076149,0.5,1,5
"UT-GBQR",3,0.211094119498329,0.0426251180118871,0.306203955027223,0.0427627165694299,1,1,5
"VTSanghani-PRIME",0,5.1451148920897,0.493511393725786,1.82323837584482,0.302606908023736,1,1,3
"VTSanghani-PRIME",1,3.63210361548647,0.497219562819326,1.77184638134249,0.31085127698427,1,1,3
"VTSanghani-PRIME",2,2.97063097161715,0.483114899261147,1.42430781362501,0.220805739948497,1,1,3
"VTSanghani-PRIME",3,2.31513674141703,0.470360428752559,3.24730261763039,0.395751010733902,1,1,3
"epiENGAGE-baseline",0,1,0.0876700700700701,1,0.14,0.4,1,5
"epiENGAGE-baseline",1,1,0.147125459626293,1,0.222,0.6,1,5
"epiENGAGE-baseline",2,1,0.178956525275275,1,0.2075,1,1,5
"epiENGAGE-baseline",3,1,0.203910334408482,1,0.133333333333333,1,1,5
"epiENGAGE-ensemble_mean",0,1.46122305559865,0.124887217803434,1.13036523539431,0.157715020055638,1,1,5
"epiENGAGE-ensemble_mean",1,1.15965923939062,0.166143985187268,1.25209203747718,0.264501531059718,0.8,1,5
"epiENGAGE-ensemble_mean",2,1.13999709311551,0.205067463050764,1.89807510016177,0.399199603338832,0.75,1,5
"epiENGAGE-ensemble_mean",3,1.01133933433565,0.206008297098158,3.65047744442215,0.479832246332397,0.666666666666667,1,5
"epiENGAGE-lop_norm",0,1.55632810688685,0.132921286768455,1.14549324510026,0.155992154355148,0.8,1,5
"epiENGAGE-lop_norm",1,1.20563456682856,0.17265594727215,1.15745795878762,0.246982512643098,0.6,1,5
"epiENGAGE-lop_norm",2,1.1850550734286,0.212522313165475,1.57095893106114,0.33173628729177,0.75,1,5
"epiENGAGE-lop_norm",3,1.05101602017576,0.213309829660339,2.78093324420768,0.36619823466752,0.666666666666667,1,5
"epiforecasts-dyngam",0,1.00362204424713,0.0841133342592592,1.64493760290731,0.187236666666666,1,1,3
"epiforecasts-dyngam",1,0.710909327249432,0.109872004166667,0.819358074701856,0.192846666666667,0.666666666666667,1,3
"epiforecasts-dyngam",2,0.6722747152171,0.12932647962963,1.07772988549027,0.270808333333333,0.666666666666667,1,3
"epiforecasts-dyngam",3,0.644249519121799,0.139290931944444,2.53990235767116,0.3770125,0,1,3
