"model_id","wis_scaled_relative_skill","wis","ae_median_scaled_relative_skill","ae_median","interval_coverage_50","interval_coverage_95","n"
"ACCIDDA-InfluPaint",7.11240776027701,1.88956038718974,8.84154012828271,3.09506135940552,0,0.333333333333333,12
"NAU-Copycat",1.10822032186272,2.43012961706344,1.74275157945858,5.63229179735522,0.1875,1,16
"NAU-INFLAenza",0.970755821347654,1.39571483440911,1.20605161842479,2.58937857972534,0.111111111111111,0.555555555555556,28
"UMass-alloy",0.808144821425945,1.58325369624594,0.981303018362214,3.30696754280737,0.384615384615385,0.923076923076923,36
"UT-GBQR",0.54497666013454,1.38657649303039,0.670794703165781,2.10977684105206,0.214285714285714,0.452380952380952,52
"VTSanghani-PRIME",0.564478077602993,1.08940101530527,0.843639626690108,2.5354308272778,0.791666666666667,1,32
"epiENGAGE-GBQR",0.92858905722274,2.1093870532743,1.06623881461166,2.67640716604679,0.125,0.125,16
"epiENGAGE-baseline",1,2.3467899638726,1,3.1047619047619,0.0238095238095238,0.357142857142857,52
"epiENGAGE-ensemble_mean",0.727127272641023,1.59831761124391,0.982273906937329,2.76977936040689,0.19047619047619,0.571428571428571,52
"epiENGAGE-lop_norm",0.677297770710664,1.50166276909405,0.903772380067714,2.77617876746771,0.142857142857143,0.761904761904762,52
"epiforecasts-dyngam",0.819571559326582,1.87622467771164,0.928852481502059,2.81251571428571,0.0952380952380952,0.30952380952381,52
