"model_id","location","wis_scaled_relative_skill","wis","ae_median_scaled_relative_skill","ae_median","interval_coverage_50","interval_coverage_95","n"
"ACCIDDA-InfluPaint","nyc",2.86384489171216,0.396743134601478,5.27439887329239,0.860140289068222,0.285714285714286,0.857142857142857,20
"NAU-INFLAenza","nyc",1.10332482132797,0.153347743949489,1.86649469275224,0.306083219314931,0.785714285714286,1,20
"UMass-alloy","nyc",1.56993851788492,0.22030766386575,3.07534794150572,0.498719148783187,0.142857142857143,0.857142857142857,20
"UT-GBQR","nyc",0.32303462574019,0.0446100340534242,0.474328953100709,0.0774182786592764,0.714285714285714,1,20
"VTSanghani-PRIME","nyc",3.59720820853017,0.485778393925254,2.42805017983083,0.360163372518544,1,1,12
"epiENGAGE-baseline","nyc",1,0.138770152990292,1,0.167142857142857,0.714285714285714,1,20
"epiENGAGE-ensemble_mean","nyc",1.23917013933209,0.171314061925933,2.04549548960448,0.336343604817531,0.785714285714286,1,20
"epiENGAGE-lop_norm","nyc",1.29138819000289,0.178043309395035,1.75735616122798,0.289233122565897,0.642857142857143,1,20
"epiforecasts-dyngam","nyc",0.793630705411006,0.116379732222222,1.54271983966537,0.270174,0.6,1,12
