"model_id","horizon","wis","ae_median","interval_coverage_50","interval_coverage_95","n"
"epiENGAGE-Copycat",0,0.412977777777778,0.5796,0.88,1,35
"epiENGAGE-Copycat",1,0.424555555555556,0.6865,0.9,1,35
"epiENGAGE-Copycat",2,0.439703703703704,0.842666666666667,0.8,1,35
"epiENGAGE-Copycat",3,0.413888888888889,0.618,0.7,1,35
"epiENGAGE-Copycat",4,0.409111111111111,0.702,0.6,1,35
"epiENGAGE-GBQR",-1,0.196298881568345,0.407259191032037,0.2,1,40
"epiENGAGE-GBQR",0,0.376538399821927,0.643914920045592,0.1,0.733333333333333,40
"epiENGAGE-GBQR",1,0.542871379793177,0.912054069728095,0.08,0.56,40
"epiENGAGE-GBQR",2,0.931784552655996,1.33311403439737,0.05,0.1,40
"epiENGAGE-GBQR",3,1.24321205622606,1.7400215244154,0,0.2,40
"epiENGAGE-INFLAenza",-1,0.307002519882216,0.607833571690208,0.714285714285714,1,40
"epiENGAGE-INFLAenza",0,0.355756094798594,0.747430509597037,0.5,1,40
"epiENGAGE-INFLAenza",1,0.387056830813199,0.806319885021684,0.44,1,40
"epiENGAGE-INFLAenza",2,0.447243042968927,0.985202077382943,0.4,1,40
"epiENGAGE-baseline",-1,0.170893783755978,0.2432,0.66,1,55
"epiENGAGE-baseline",0,0.684071408414587,1.30511111111111,0.0888888888888889,0.844444444444444,55
"epiENGAGE-baseline",1,1.2483927248429,2.26025,0.075,0.825,55
"epiENGAGE-baseline",2,1.92530578264773,3.34542857142857,0,0.714285714285714,55
"epiENGAGE-baseline",3,2.48795372349201,4.15,0,0.633333333333333,55
"epiENGAGE-ensemble_mean",-1,0.158164693820174,0.289436835634115,0.633333333333333,1,35
"epiENGAGE-ensemble_mean",0,0.2406197747783,0.449060088981481,0.56,1,35
"epiENGAGE-ensemble_mean",1,0.301911569066131,0.602726565209722,0.45,0.95,35
"epiENGAGE-ensemble_mean",2,0.372611365037655,0.756476208044935,0.133333333333333,0.733333333333333,35
"epiENGAGE-ensemble_mean",3,0.506824838849974,0.809108749375577,0.1,0.6,35
"epiENGAGE-ensemble_mean",4,0.343517813458333,0.6026505,0.6,1,25
"epiENGAGE-lop_norm",-1,0.162048382281436,0.27616814435488,0.5,1,35
"epiENGAGE-lop_norm",0,0.245638547372458,0.433653395912336,0.44,1,35
"epiENGAGE-lop_norm",1,0.310605638571223,0.624126493366374,0.4,1,35
"epiENGAGE-lop_norm",2,0.372637644315308,0.802270955905919,0.133333333333333,1,35
"epiENGAGE-lop_norm",3,0.522990902639263,0.964704562557044,0.1,0.6,35
"epiENGAGE-lop_norm",4,0.340815381049606,0.581888221364894,0.6,1,25
"epiforecasts-dyngam",-1,0.17245958737963,0.261248466666667,0.833333333333333,1,35
"epiforecasts-dyngam",0,0.268886443819444,0.467540833333333,0.566666666666667,1,40
"epiforecasts-dyngam",1,0.307759939594444,0.6096112,0.52,1,40
"epiforecasts-dyngam",2,0.350835529840278,0.6992325,0.4,1,40
"epiforecasts-dyngam",3,0.377996275157407,0.745677,0.466666666666667,1,40
"epiforecasts-dyngam",4,0.281162349138889,0.509719,0.6,1,35
