"model_id","wis_scaled_relative_skill","wis","ae_median_scaled_relative_skill","ae_median","interval_coverage_50","interval_coverage_95","n"
"ACCIDDA-InfluPaint",0.533602419098505,0.12379855810275,0.528332273441057,0.248385679032997,0.527631578947368,0.95921052631579,1520
"FluSight-ensemble",0.408573085990446,0.0813225996151971,0.3800723268395,0.14602267987744,0.753846153846154,1,260
"MOBS-EpyStrain_Flu",0.673323159781532,0.156080869883041,0.806539663542714,0.374213157894737,0.296052631578947,0.936842105263158,1216
"NAU-Copycat",0.614709875548685,0.142424853913445,0.61025926193173,0.284407553349542,0.66578947368421,0.980263157894737,1520
"NAU-INFLAenza",0.480182687384905,0.112123177341183,0.453304357680121,0.211995817922634,0.590789473684211,0.975,1520
"UMass-SAR",0.581100984032076,0.138386408114819,0.531179018202559,0.250328921816319,0.598507462686567,0.956716417910448,1340
"UMass-alloy",0.47727538265455,0.109766703930445,0.426747074750947,0.198593368899282,0.497368421052632,0.960526315789474,1520
"UT-GBQR",0.485431553913927,0.112717637457329,0.448975752684294,0.209572448830133,0.318421052631579,0.852631578947368,1520
"VTSanghani-PRIME",2.22271184410391,0.502830025797679,0.87796167583351,0.402193107440072,0.431578947368421,0.431578947368421,1216
"epiENGAGE-baseline",1,0.228897967159411,1,0.458828947368421,0.332894736842105,1,1520
"epiENGAGE-ensemble_mean",0.529016673957306,0.121672836099854,0.385135280367398,0.180549052549141,0.734210526315789,0.984210526315789,1520
"epiENGAGE-lop_norm",0.562771046822567,0.12962687222504,0.37467707022951,0.176707843109155,0.843421052631579,0.996052631578947,1520
"epiforecasts-dyngam",0.44418837644965,0.102988027367834,0.377512917319803,0.175456310197368,0.722368421052632,0.988157894736842,1520
